chr_rna_RCH	start_rna_RCH	end_rna_RCH	gene_name__RCH	score	str_RCH	gene_type_RCH	gene_name_not_uniq_RCH	from_RCH	id_RCH	chr_rna	start_rna	end_rna	gene_name	lala	str	gene_id	overlap	merge_len	overlap/merge_len	len_RCH	len
chr19	1440839	1441938	AC027307.3	100	+	lncRNA	AC027307.3	gencode	103164	chr19	1440838	1441938	AC027307.3	100	+	ENSG00000268798.1	1099	1100	0.9990909090909091	1100	1101
chr19	1457670	1458580	AC027307.2	100	-	lncRNA	AC027307.2	gencode	103173	chr19	1457669	1458580	AC027307.2	100	-	ENSG00000267317.2	910	911	0.9989023051591658	911	912
chr19	1874871	1876169	AC012615.1	100	-	lncRNA	AC012615.1	gencode	103290	chr19	1874870	1876169	AC012615.1	100	-	ENSG00000261526.2	1298	1299	0.9992301770592764	1299	1300
chr19	1989401	1990370	AC005306.1	100	+	lncRNA	AC005306.1	gencode	103330	chr19	1989400	1990370	AC005306.1	100	+	ENSG00000267283.1	969	970	0.9989690721649485	970	971
chr19	2002580	2003581	AC004678.2	100	-	TEC	AC004678.2	gencode	103335	chr19	2002579	2003581	AC004678.2	100	-	ENSG00000279653.1	1001	1002	0.999001996007984	1002	1003
chr19	2212029	2215565	AC004490.1	100	-	lncRNA	AC004490.1	gencode	103395	chr19	2212028	2215565	AC004490.1	100	-	ENSG00000267122.1	3536	3537	0.9997172745264349	3537	3538
chr19	2610155	2611862	AC092068.2	100	-	lncRNA	AC092068.2	gencode	103486	chr19	2610154	2611862	AC092068.2	100	-	ENSG00000267412.1	1707	1708	0.9994145199063232	1708	1709
chr19	2641838	2643853	AC092068.3	100	-	lncRNA	AC092068.3	gencode	103496	chr19	2641837	2643853	AC092068.3	100	-	ENSG00000267749.1	2015	2016	0.9995039682539683	2016	2017
chr19	2700689	2701266	AC006538.3	100	-	lncRNA	AC006538.3	gencode	103501	chr19	2700688	2701266	AC006538.4	100	-	ENSG00000276097.1	577	578	0.9982698961937716	578	579
chr19	2727743	2729327	AC006538.1	100	-	lncRNA	AC006538.1	gencode	103507	chr19	2727742	2729327	AC006538.2	100	-	ENSG00000261342.1	1584	1585	0.9993690851735015	1585	1586
chr19	3607247	3613930	CACTIN-AS1	100	+	lncRNA	CACTIN-AS1	gencode	103693	chr19	3607246	3613930	CACTIN-AS1	100	+	ENSG00000226800.5	6683	6684	0.9998503889886295	6684	6685
chr19	4061615	4062749	AC016586.1	100	-	lncRNA	AC016586.1	gencode	103814	chr19	4061614	4062749	AC016586.2	100	-	ENSG00000268670.1	1134	1135	0.9991189427312775	1135	1136
chr19	4246339	4247358	AC005578.1	100	-	TEC	AC005578.1	gencode	103850	chr19	4246338	4247358	AC005578.1	100	-	ENSG00000280247.1	1019	1020	0.9990196078431373	1020	1021
chr19	4356637	4358448	AC007292.2	100	-	lncRNA	AC007292.2	gencode	103879	chr19	4356636	4358448	AC007292.2	100	-	ENSG00000269318.1	1811	1812	0.9994481236203091	1812	1813
chr19	4363789	4364640	AC007292.1	100	+	lncRNA	AC007292.1	gencode	103886	chr19	4363788	4364640	AC007292.1	100	+	ENSG00000267980.1	851	852	0.9988262910798122	852	853
chr19	4447304	4448217	AC011498.2	100	+	lncRNA	AC011498.2	gencode	103902	chr19	4447303	4448217	AC011498.2	100	+	ENSG00000267030.1	913	914	0.9989059080962801	914	915
chr19	4448810	4450836	AC011498.7	100	+	TEC	AC011498.7	gencode	103903	chr19	4448809	4450836	AC011498.7	100	+	ENSG00000280239.1	2026	2027	0.9995066600888012	2027	2028
chr19	5294247	5294696	AC005790.1	100	+	lncRNA	AC005790.1	gencode	104075	chr19	5294246	5294696	AC005790.1	100	+	ENSG00000274447.1	449	450	0.9977777777777778	450	451
chr19	6469465	6470152	AC010503.5	100	+	lncRNA	AC010503.5	gencode	104281	chr19	6469464	6470152	AC010503.4	100	+	ENSG00000275234.1	687	688	0.998546511627907	688	689
chr19	6716386	6717742	AC008760.2	100	-	lncRNA	AC008760.2	gencode	104320	chr19	6716385	6717742	AC008760.2	100	-	ENSG00000276980.1	1356	1357	0.9992630803242447	1357	1358
chr19	6748293	6751467	AC008760.1	100	-	lncRNA	AC008760.1	gencode	104328	chr19	6748292	6751467	AC008760.1	100	-	ENSG00000269680.1	3174	3175	0.9996850393700787	3175	3176
chr19	7390522	7395039	AC119396.2	100	-	lncRNA	AC119396.2	gencode	104390	chr19	7390521	7395039	AC119396.2	100	-	ENSG00000267852.1	4517	4518	0.9997786631252766	4518	4519
chr19	7633766	7636990	AC008763.1	100	-	lncRNA	AC008763.1	gencode	104436	chr19	7633765	7636990	AC008763.1	100	-	ENSG00000268204.1	3224	3225	0.9996899224806202	3225	3226
chr19	7898804	7903542	AC010336.1	100	-	lncRNA	AC010336.1	gencode	104498	chr19	7898803	7903542	AC010336.1	100	-	ENSG00000214248.2	4738	4739	0.9997889850179362	4739	4740
chr19	8008729	8016025	AC008946.1	100	+	lncRNA	AC008946.1	gencode	104537	chr19	8008728	8016025	AC008946.1	100	+	ENSG00000267939.1	7296	7297	0.9998629573797451	7297	7298
chr19	8374373	8390685	RAB11B-AS1	100	-	lncRNA	RAB11B-AS1	gencode	104597	chr19	8374372	8390685	RAB11B-AS1	100	-	ENSG00000269386.5	16312	16313	0.9999386991969594	16313	16314
chr19	9538693	9539734	ZNF426-DT	100	+	lncRNA	ZNF426-DT	gencode	104744	chr19	9538692	9539734	ZNF426-DT	100	+	ENSG00000278611.2	1041	1042	0.9990403071017274	1042	1043
chr19	9621249	9647203	ZNF561-AS1	100	+	lncRNA	ZNF561-AS1	gencode	104751	chr19	9621248	9647203	ZNF561-AS1	100	+	ENSG00000267106.7	25954	25955	0.9999614717780775	25955	25956
chr19	9834079	9835013	AC008752.3	100	-	lncRNA	AC008752.3	gencode	104780	chr19	9834078	9835013	AC008752.2	100	-	ENSG00000267289.1	934	935	0.9989304812834224	935	936
chr19	10285801	10289019	AC011511.5	100	-	lncRNA	AC011511.5	gencode	104858	chr19	10285800	10289019	AC011511.5	100	-	ENSG00000267607.1	3218	3219	0.9996893445169307	3219	3220
chr19	10333436	10336248	AC114271.1	100	+	lncRNA	AC114271.1	gencode	104874	chr19	10333435	10336248	AC114271.1	100	+	ENSG00000274425.1	2812	2813	0.9996445076430857	2813	2814
chr19	10490339	10491000	AC011461.1	100	-	lncRNA	AC011461.1	gencode	104911	chr19	10490338	10491000	AC011461.1	100	-	ENSG00000267197.1	661	662	0.9984894259818731	662	663
chr19	10651862	10653844	ILF3-DT	100	-	lncRNA	ILF3-DT	gencode	104939	chr19	10651861	10653844	ILF3-DT	100	-	ENSG00000267100.1	1982	1983	0.9994957135653051	1983	1984
chr19	11203628	11216168	AC011472.1	100	+	lncRNA	AC011472.1	gencode	105058	chr19	11203627	11216168	AC011472.1	100	+	ENSG00000267082.1	12540	12541	0.9999202615421418	12541	12542
chr19	11221083	11221573	AC011472.4	100	+	lncRNA	AC011472.4	gencode	105060	chr19	11221082	11221573	AC011472.4	100	+	ENSG00000273733.1	490	491	0.9979633401221996	491	492
chr19	11368123	11374935	AC024575.1	100	-	lncRNA	AC024575.1	gencode	105089	chr19	11368122	11374935	AC024575.1	100	-	ENSG00000267277.1	6812	6813	0.9998532217818875	6813	6814
chr19	11725961	11730783	AC008543.3	100	-	lncRNA	AC008543.3	gencode	105148	chr19	11725960	11730783	AC008543.3	100	-	ENSG00000266922.1	4822	4823	0.9997926601700187	4823	4824
chr19	11939959	11953381	AC008770.3	100	+	lncRNA	AC008770.3	gencode	105172	chr19	11939958	11953381	AC008770.3	100	+	ENSG00000267274.1	13422	13423	0.9999255010057364	13423	13424
chr19	11987617	12046275	ZNF433-AS1	100	+	lncRNA	ZNF433-AS1	gencode	105175	chr19	11987616	12046275	ZNF433-AS1	100	+	ENSG00000219665.8	58658	58659	0.9999829523176325	58659	58660
chr19	12825711	12832983	AC020934.1	100	+	lncRNA	AC020934.1	gencode	105308	chr19	12825710	12832983	AC020934.1	100	+	ENSG00000267424.1	7272	7273	0.9998625051560567	7273	7274
chr19	13081966	13082564	AC007787.2	100	+	TEC	AC007787.2	gencode	105383	chr19	13081965	13082564	AC007787.2	100	+	ENSG00000279044.1	598	599	0.998330550918197	599	600
chr19	13131571	13132410	AC005546.1	100	+	lncRNA	AC005546.1	gencode	105398	chr19	13131570	13132410	AC005546.1	100	+	ENSG00000266897.1	839	840	0.9988095238095238	840	841
chr19	13823880	13842928	AC020916.1	100	-	lncRNA	AC020916.1	gencode	105471	chr19	13823879	13842928	AC020916.1	100	-	ENSG00000267519.6	19048	19049	0.9999475038059741	19049	19050
chr19	14006422	14006773	AC022098.4	100	+	lncRNA	AC022098.4	gencode	105516	chr19	14006421	14006773	AC022098.4	100	+	ENSG00000275091.1	351	352	0.9971590909090909	352	353
chr19	14137146	14171267	AC022098.1	100	+	lncRNA	AC022098.1	gencode	105552	chr19	14137145	14171267	AC022098.1	100	+	ENSG00000267169.2	34121	34122	0.9999706933942911	34122	34123
chr19	15346068	15348417	AC005776.2	100	-	lncRNA	AC005776.2	gencode	105743	chr19	15346067	15348417	AC005776.2	100	-	ENSG00000273218.1	2349	2350	0.9995744680851064	2350	2351
chr19	15828206	15836328	UCA1	100	+	lncRNA	UCA1	gencode	105831	chr19	15828205	15836328	UCA1	100	+	ENSG00000214049.8	8122	8123	0.9998768927736058	8123	8124
chr19	16074293	16077395	AC008894.3	100	-	TEC	AC008894.3	gencode	105872	chr19	16074292	16077395	AC008894.3	100	-	ENSG00000279198.1	3102	3103	0.999677731227844	3103	3104
chr19	16356329	16358327	AC020917.4	100	-	TEC	AC020917.4	gencode	105918	chr19	16356328	16358327	AC020917.4	100	-	ENSG00000280332.1	1998	1999	0.9994997498749375	1999	2000
chr19	16542746	16544814	AC008764.6	100	+	lncRNA	AC008764.6	gencode	105945	chr19	16542745	16544814	AC008764.6	100	+	ENSG00000269399.2	2068	2069	0.9995166747220879	2069	2070
chr19	16572624	16575340	AC008764.8	100	+	lncRNA	AC008764.8	gencode	105951	chr19	16572623	16575340	AC008764.8	100	+	ENSG00000279529.1	2716	2717	0.9996319470003681	2717	2718
chr19	16586905	16587985	AC008764.7	100	-	lncRNA	AC008764.7	gencode	105957	chr19	16586904	16587985	AC008764.7	100	-	ENSG00000269578.1	1080	1081	0.9990749306197965	1081	1082
chr19	16586905	16589409	AC008764.9	100	+	TEC	AC008764.9	gencode	105958	chr19	16586904	16589409	AC008764.9	100	+	ENSG00000279748.1	2504	2505	0.9996007984031936	2505	2506
chr19	16610374	16612203	AC008764.10	100	-	TEC	AC008764.10	gencode	105964	chr19	16610373	16612203	AC008764.10	100	-	ENSG00000279977.1	1829	1830	0.9994535519125683	1830	1831
chr19	16639967	16640668	AC024075.1	100	-	lncRNA	AC024075.1	gencode	105969	chr19	16639966	16640668	AC024075.1	100	-	ENSG00000267904.1	701	702	0.9985754985754985	702	703
chr19	17296196	17296695	AC010463.3	100	-	lncRNA	AC010463.3	gencode	106066	chr19	17296195	17296695	AC010463.3	100	-	ENSG00000269815.1	499	500	0.998	500	501
chr19	17405686	17419324	BISPR	100	+	lncRNA	BISPR	gencode	106091	chr19	17405685	17419324	BISPR	100	+	ENSG00000282851.2	13638	13639	0.9999266808417039	13639	13640
chr19	17419305	17419774	AC010319.3	100	-	lncRNA	AC010319.3	gencode	106096	chr19	17419304	17419774	AC010319.3	100	-	ENSG00000269053.1	469	470	0.997872340425532	470	471
chr19	17488990	17511889	AC010618.3	100	-	lncRNA	AC010618.3	gencode	106108	chr19	17488989	17511889	AC010618.4	100	-	ENSG00000269439.6	22899	22900	0.9999563318777293	22900	22901
chr19	18448275	18448805	AC010335.3	100	-	TEC	AC010335.3	gencode	106316	chr19	18448274	18448805	AC010335.3	100	-	ENSG00000280121.1	530	531	0.9981167608286252	531	532
chr19	18940235	18947452	HOMER3-AS1	100	+	lncRNA	HOMER3-AS1	gencode	106448	chr19	18940234	18947452	HOMER3-AS1	100	+	ENSG00000269019.2	7217	7218	0.9998614574674425	7218	7219
chr19	19254748	19273369	AC138430.1	100	-	lncRNA	AC138430.1	gencode	106513	chr19	19254747	19273369	AC138430.1	100	-	ENSG00000267629.3	18621	18622	0.9999463000751799	18622	18623
chr19	19757366	19776423	LINC00663	100	-	lncRNA	LINC00663	gencode	106601	chr19	19757365	19776423	LINC00663	100	-	ENSG00000266904.6	19057	19058	0.9999475285969147	19058	19059
chr19	19761038	19821716	AC011477.3	100	-	lncRNA	AC011477.3	gencode	106603	chr19	19761037	19821716	AC011477.4	100	-	ENSG00000267581.1	60678	60679	0.9999835198338799	60679	60680
chr19	19788755	19790531	AC011477.1	100	-	lncRNA	AC011477.1	gencode	106610	chr19	19788754	19790531	AC011477.2	100	-	ENSG00000267481.1	1776	1777	0.9994372537985369	1777	1778
chr19	20122569	20321305	AC011447.3	100	-	lncRNA	AC011447.3	gencode	106633	chr19	20122568	20321305	AC011447.3	100	-	ENSG00000267383.7	198736	198737	0.9999949682243366	198737	198738
chr19	20207192	20209789	AC011447.6	100	-	TEC	AC011447.6	gencode	106640	chr19	20207191	20209789	AC011447.6	100	-	ENSG00000279039.1	2597	2598	0.9996150885296382	2598	2599
chr19	20220597	20222186	AC011447.7	100	-	TEC	AC011447.7	gencode	106641	chr19	20220596	20222186	AC011447.7	100	-	ENSG00000280079.1	1589	1590	0.9993710691823899	1590	1591
chr19	20746923	20755250	AC010329.1	100	-	lncRNA	AC010329.1	gencode	106671	chr19	20746922	20755250	AC010329.1	100	-	ENSG00000268416.1	8327	8328	0.9998799231508165	8328	8329
chr19	21444241	21463908	AC010615.2	100	-	lncRNA	AC010615.2	gencode	106728	chr19	21444240	21463908	AC010615.2	100	-	ENSG00000268119.6	19667	19668	0.9999491559894245	19668	19669
chr19	21483374	21503238	LINC00664	100	+	lncRNA	LINC00664	gencode	106729	chr19	21483373	21503238	LINC00664	100	+	ENSG00000268658.5	19864	19865	0.9999496602063932	19865	19866
chr19	21569738	21587322	AC123912.4	100	-	lncRNA	AC123912.4	gencode	106734	chr19	21569737	21587322	AC123912.4	100	-	ENSG00000268555.2	17584	17585	0.9999431333522889	17585	17586
chr19	21965708	21968529	AC003973.2	100	-	TEC	AC003973.2	gencode	106760	chr19	21965707	21968529	AC003973.2	100	-	ENSG00000279377.1	2821	2822	0.9996456413890857	2822	2823
chr19	22520995	22527949	AC011467.1	100	-	lncRNA	AC011467.1	gencode	106790	chr19	22520994	22527949	AC011467.1	100	-	ENSG00000260599.1	6954	6955	0.9998562185478074	6955	6956
chr19	23075201	23100361	AC074135.1	100	+	lncRNA	AC074135.1	gencode	106833	chr19	23075200	23100361	AC074135.1	100	+	ENSG00000267886.1	25160	25161	0.9999602559516713	25161	25162
chr19	23399233	23416075	LINC01224	100	-	lncRNA	LINC01224	gencode	106864	chr19	23399232	23416075	LINC01224	100	-	ENSG00000269416.6	16842	16843	0.9999406281541293	16843	16844
chr19	23919081	23958035	AC011503.1	100	-	lncRNA	AC011503.1	gencode	106887	chr19	23919080	23958035	AC011503.1	100	-	ENSG00000269289.6	38954	38955	0.9999743293543832	38955	38956
chr19	23927788	23929287	AC011503.2	100	+	lncRNA	AC011503.2	gencode	106888	chr19	23927787	23929287	AC011503.2	100	+	ENSG00000269397.1	1499	1500	0.9993333333333333	1500	1501
chr19	24078481	24080669	AC092279.2	100	+	TEC	AC092279.2	gencode	106906	chr19	24078480	24080669	AC092279.2	100	+	ENSG00000279425.1	2188	2189	0.9995431703974418	2189	2190
chr19	24146701	24147081	AC073534.2	100	+	lncRNA	AC073534.2	gencode	106914	chr19	24146700	24147081	AC073534.2	100	+	ENSG00000276030.1	380	381	0.9973753280839895	381	382
chr19	27681072	27794005	LINC00662	100	-	lncRNA	LINC00662	gencode	106931	chr19	27681071	27794005	LINC00662	100	-	ENSG00000261824.7	112933	112934	0.9999911452706891	112934	112935
chr19	27757184	27760849	AC006504.1	100	-	lncRNA	AC006504.1	gencode	106932	chr19	27757183	27760849	AC006504.1	100	-	ENSG00000261770.1	3665	3666	0.9997272231314784	3666	3667
chr19	27793431	27984984	AC006504.5	100	+	lncRNA	AC006504.5	gencode	106933	chr19	27793430	27984984	AC006504.5	100	+	ENSG00000267575.7	191553	191554	0.9999947795399731	191554	191555
chr19	27802838	27803472	AC006504.7	100	+	lncRNA	AC006504.7	gencode	106934	chr19	27802837	27803472	AC006504.7	100	+	ENSG00000281468.1	634	635	0.9984251968503937	635	636
chr19	28437060	28535277	AC005381.1	100	-	lncRNA	AC005381.1	gencode	106975	chr19	28437059	28535277	AC005381.1	100	-	ENSG00000267243.6	98217	98218	0.9999898185668614	98218	98219
chr19	30553956	30558058	AC011504.1	100	+	TEC	AC011504.1	gencode	107150	chr19	30553955	30558058	AC011504.1	100	+	ENSG00000280061.1	4102	4103	0.999756275895686	4103	4104
chr19	31364297	31366098	AC025809.2	100	+	TEC	AC025809.2	gencode	107208	chr19	31364296	31366098	AC025809.2	100	+	ENSG00000278875.1	1801	1802	0.9994450610432852	1802	1803
chr19	32390050	32405560	AC007773.1	100	-	lncRNA	AC007773.1	gencode	107271	chr19	32390049	32405560	AC007773.1	100	-	ENSG00000267213.4	15510	15511	0.9999355296241377	15511	15512
chr19	32687089	32691750	AC008736.1	100	-	lncRNA	AC008736.1	gencode	107304	chr19	32687088	32691750	AC008736.2	100	-	ENSG00000267475.1	4661	4662	0.9997854997854998	4662	4663
chr19	33207129	33207639	AC008738.7	100	+	lncRNA	AC008738.7	gencode	107372	chr19	33207128	33207639	AC008738.7	100	+	ENSG00000273420.1	510	511	0.9980430528375733	511	512
chr19	33302857	33305054	CEBPA-DT	100	+	lncRNA	CEBPA-DT	gencode	107394	chr19	33302856	33305054	CEBPA-DT	100	+	ENSG00000267296.2	2197	2198	0.9995450409463148	2198	2199
chr19	33906352	33908391	AC008556.1	100	+	lncRNA	AC008556.1	gencode	107488	chr19	33906351	33908391	AC008556.1	100	+	ENSG00000277013.1	2039	2040	0.9995098039215686	2040	2041
chr19	34348356	34359412	AC010504.1	100	-	lncRNA	AC010504.1	gencode	107541	chr19	34348355	34359412	AC010504.1	100	-	ENSG00000267219.1	11056	11057	0.999909559555033	11057	11058
chr19	34675717	34677581	AC020910.6	100	-	TEC	AC020910.6	gencode	107590	chr19	34675716	34677581	AC020910.5	100	-	ENSG00000279329.1	1864	1865	0.9994638069705094	1865	1866
chr19	34733298	34733837	AC020910.5	100	-	lncRNA	AC020910.5	gencode	107597	chr19	34733297	34733837	AC020910.4	100	-	ENSG00000274104.1	539	540	0.9981481481481481	540	541
chr19	34788527	34832869	LINC01801	100	-	lncRNA	LINC01801	gencode	107604	chr19	34788526	34832869	LINC01801	100	-	ENSG00000267767.3	44342	44343	0.9999774485262611	44343	44344
chr19	34811589	34814345	AC008555.1	100	-	lncRNA	AC008555.1	gencode	107607	chr19	34811588	34814345	AC008555.1	100	-	ENSG00000261754.2	2756	2757	0.9996372869060574	2757	2758
chr19	34837889	34872479	AC008555.2	100	+	lncRNA	AC008555.2	gencode	107610	chr19	34837888	34872479	AC008555.2	100	+	ENSG00000269086.3	34590	34591	0.9999710907461479	34591	34592
chr19	34849046	34860747	AC008555.4	100	-	lncRNA	AC008555.4	gencode	107613	chr19	34849045	34860747	AC008555.4	100	-	ENSG00000271109.2	11701	11702	0.9999145445223039	11702	11703
chr19	34923299	34926812	ZNF30-AS1	100	-	lncRNA	ZNF30-AS1	gencode	107620	chr19	34923298	34926812	ZNF30-AS1	100	-	ENSG00000270876.1	3513	3514	0.9997154240182129	3514	3515
chr19	34949038	34951205	AC008555.6	100	-	TEC	AC008555.6	gencode	107627	chr19	34949037	34951205	AC008555.7	100	-	ENSG00000280106.1	2167	2168	0.9995387453874539	2168	2169
chr19	35137645	35139580	AC020907.5	100	-	TEC	AC020907.5	gencode	107665	chr19	35137644	35139580	AC020907.5	100	-	ENSG00000279619.1	1935	1936	0.9994834710743802	1936	1937
chr19	35138824	35151336	AC020907.2	100	+	lncRNA	AC020907.2	gencode	107667	chr19	35138823	35151336	AC020907.2	100	+	ENSG00000221857.7	12512	12513	0.9999200831135618	12513	12514
chr19	35262846	35264804	AC002128.1	100	+	lncRNA	AC002128.1	gencode	107694	chr19	35262845	35264804	AC002128.1	100	+	ENSG00000268947.1	1958	1959	0.9994895354772844	1959	1960
chr19	35432957	35434642	AC002511.1	100	-	lncRNA	AC002511.1	gencode	107742	chr19	35432956	35434642	AC002511.1	100	-	ENSG00000232680.2	1685	1686	0.9994068801897983	1686	1687
chr19	35540738	35546029	TMEM147-AS1	100	-	lncRNA	TMEM147-AS1	gencode	107756	chr19	35540737	35546029	TMEM147-AS1	100	-	ENSG00000236144.8	5291	5292	0.9998110355253212	5292	5293
chr19	35667948	35673291	UPK1A-AS1	100	-	lncRNA	UPK1A-AS1	gencode	107799	chr19	35667947	35673291	UPK1A-AS1	100	-	ENSG00000226510.1	5343	5344	0.999812874251497	5344	5345
chr19	35747057	35753415	AD000671.3	100	-	lncRNA	AD000671.3	gencode	107824	chr19	35747056	35753415	AD000671.3	100	-	ENSG00000267439.1	6358	6359	0.9998427425695864	6359	6360
chr19	35901561	35903855	AD000864.1	100	-	TEC	AD000864.1	gencode	107861	chr19	35901560	35903855	AD000864.1	100	-	ENSG00000280194.1	2294	2295	0.9995642701525055	2295	2296
chr19	36008638	36014235	AC002116.1	100	-	lncRNA	AC002116.1	gencode	107888	chr19	36008637	36014235	AC002116.1	100	-	ENSG00000248101.2	5597	5598	0.9998213647731332	5598	5599
chr19	36014508	36045972	AC002116.2	100	+	lncRNA	AC002116.2	gencode	107890	chr19	36014507	36045972	AC002116.2	100	+	ENSG00000267698.1	31464	31465	0.9999682186556491	31465	31466
chr19	36070239	36071070	AD000813.1	100	+	TEC	AD000813.1	gencode	107898	chr19	36070238	36071070	AD000813.1	100	+	ENSG00000280023.1	831	832	0.9987980769230769	832	833
chr19	36114362	36115146	AD001527.2	100	+	TEC	AD001527.2	gencode	107912	chr19	36114361	36115146	AD001527.2	100	+	ENSG00000279504.1	784	785	0.9987261146496815	785	786
chr19	36304564	36321274	AC092296.2	100	+	lncRNA	AC092296.2	gencode	107936	chr19	36304563	36321274	AC092296.2	100	+	ENSG00000267053.7	16710	16711	0.9999401591765903	16711	16712
chr19	36489649	36491040	AC092295.2	100	+	lncRNA	AC092295.2	gencode	107948	chr19	36489648	36491040	AC092295.2	100	+	ENSG00000267309.1	1391	1392	0.9992816091954023	1392	1393
chr19	36573070	36594708	ZNF529-AS1	100	+	lncRNA	ZNF529-AS1	gencode	107957	chr19	36573069	36594708	ZNF529-AS1	100	+	ENSG00000233527.9	21638	21639	0.9999537871435833	21639	21640
chr19	36668102	36669404	AC074138.1	100	+	lncRNA	AC074138.1	gencode	107961	chr19	36668101	36669404	AC074138.1	100	+	ENSG00000276071.1	1302	1303	0.9992325402916347	1303	1304
chr19	36682636	36687449	LINC01534	100	-	lncRNA	LINC01534	gencode	107966	chr19	36682635	36687449	LINC01534	100	-	ENSG00000225975.7	4813	4814	0.9997922725384296	4814	4815
chr19	36773112	36777078	AC020928.1	100	+	lncRNA	AC020928.1	gencode	107969	chr19	36773111	36777078	AC020928.1	100	+	ENSG00000267260.2	3966	3967	0.9997479203428283	3967	3968
chr19	36797502	36831596	ZNF790-AS1	100	+	lncRNA	ZNF790-AS1	gencode	107971	chr19	36797501	36831596	ZNF790-AS1	100	+	ENSG00000267254.7	34094	34095	0.9999706701862443	34095	34096
chr19	37251885	37265535	LINC01535	100	+	lncRNA	LINC01535	gencode	107994	chr19	37251884	37265535	LINC01535	100	+	ENSG00000226686.8	13650	13651	0.9999267452933851	13651	13652
chr19	37314868	37315620	AC016590.3	100	-	lncRNA	AC016590.3	gencode	107997	chr19	37314867	37315620	AC016590.3	100	-	ENSG00000276846.1	752	753	0.99867197875166	753	754
chr19	37337236	37337743	AC016590.2	100	+	lncRNA	AC016590.2	gencode	107999	chr19	37337235	37337743	AC016590.2	100	+	ENSG00000267682.1	507	508	0.9980314960629921	508	509
chr19	37497159	37507122	ZNF793-AS1	100	-	lncRNA	ZNF793-AS1	gencode	108007	chr19	37497158	37507122	ZNF793-AS1	100	-	ENSG00000266916.7	9963	9964	0.9998996386993175	9964	9965
chr19	37545470	37549171	AC022148.1	100	-	lncRNA	AC022148.1	gencode	108010	chr19	37545469	37549171	AC022148.1	100	-	ENSG00000180458.2	3701	3702	0.9997298757428417	3702	3703
chr19	37548914	37587348	ZNF571-AS1	100	+	lncRNA	ZNF571-AS1	gencode	108011	chr19	37548913	37587348	ZNF571-AS1	100	+	ENSG00000267470.6	38434	38435	0.9999739820476129	38435	38436
chr19	37728586	37730643	AC093227.1	100	-	lncRNA	AC093227.1	gencode	108022	chr19	37728585	37730643	AC093227.1	100	-	ENSG00000267152.1	2057	2058	0.999514091350826	2058	2059
chr19	37963853	37964790	AC008395.1	100	+	lncRNA	AC008395.1	gencode	108040	chr19	37963852	37964790	AC008395.1	100	+	ENSG00000268051.1	937	938	0.9989339019189766	938	939
chr19	38184376	38186265	AC011479.3	100	+	lncRNA	AC011479.3	gencode	108070	chr19	38184375	38186265	AC011479.3	100	+	ENSG00000269653.1	1889	1890	0.9994708994708995	1890	1891
chr19	38738284	38739863	AC022144.1	100	+	lncRNA	AC022144.1	gencode	108170	chr19	38738283	38739863	AC022144.1	100	+	ENSG00000267892.1	1579	1580	0.9993670886075949	1580	1581
chr19	38844729	38845499	AC008982.2	100	-	lncRNA	AC008982.2	gencode	108193	chr19	38844728	38845499	AC008982.2	100	-	ENSG00000269688.1	770	771	0.9987029831387808	771	772
chr19	39812972	39813555	AC005393.1	100	-	lncRNA	AC005393.1	gencode	108365	chr19	39812971	39813555	AC005393.1	100	-	ENSG00000276445.1	583	584	0.9982876712328768	584	585
chr19	40090754	40094406	AC005614.1	100	+	lncRNA	AC005614.1	gencode	108413	chr19	40090753	40094406	AC005614.1	100	+	ENSG00000269296.1	3652	3653	0.9997262523952916	3653	3654
chr19	40273489	40275479	AC118344.1	100	-	lncRNA	AC118344.1	gencode	108440	chr19	40273488	40275479	AC118344.1	100	-	ENSG00000205041.1	1990	1991	0.9994977398292315	1991	1992
chr19	40355842	40360606	AC118344.2	100	+	TEC	AC118344.2	gencode	108473	chr19	40355841	40360606	AC118344.2	100	+	ENSG00000279759.1	4764	4765	0.9997901364113326	4765	4766
chr19	40426115	40426702	AC010271.2	100	+	lncRNA	AC010271.2	gencode	108496	chr19	40426114	40426702	AC010271.2	100	+	ENSG00000277453.1	587	588	0.9982993197278912	588	589
chr19	40840159	40842039	AC008537.3	100	+	TEC	AC008537.3	gencode	108575	chr19	40840158	40842039	AC008537.3	100	+	ENSG00000279108.1	1880	1881	0.9994683678894205	1881	1882
chr19	41373971	41374419	AC011462.4	100	+	lncRNA	AC011462.4	gencode	108648	chr19	41373970	41374419	AC011462.4	100	+	ENSG00000277744.1	448	449	0.9977728285077951	449	450
chr19	41399372	41400365	AC011462.3	100	+	lncRNA	AC011462.3	gencode	108653	chr19	41399371	41400365	AC011462.3	100	+	ENSG00000268987.1	993	994	0.9989939637826962	994	995
chr19	41449520	41501223	PCAT19	100	-	lncRNA	PCAT19	gencode	108672	chr19	41449519	41501223	PCAT19	100	-	ENSG00000267107.8	51703	51704	0.9999806591366238	51704	51705
chr19	41535183	41536904	LINC01480	100	+	lncRNA	LINC01480	gencode	108678	chr19	41535182	41536904	LINC01480	100	+	ENSG00000270164.1	1721	1722	0.9994192799070848	1722	1723
chr19	41545192	41555462	AC243960.1	100	+	lncRNA	AC243960.1	gencode	108680	chr19	41545191	41555462	AC243960.1	100	+	ENSG00000268027.5	10270	10271	0.9999026384967384	10271	10272
